,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
149,0.5787,0.5806,0.5901,0.5844,0.5863,0.5957,0.5453,0.5894,0.5957
150,0.5942,0.6034,0.6163,0.6197,0.6028,0.6151,0.5685,0.6151,0.6248
151,0.5947,0.5892,0.5935,0.6039,0.599,0.6046,0.5597,0.6064,0.6121
152,0.6052,0.6186,0.6186,0.6337,0.6186,0.6095,0.5655,0.6159,0.6198
153,0.5739,0.5827,0.5827,0.5758,0.5877,0.5927,0.5426,0.5871,0.5896
154,0.5894,0.6159,0.6128,0.5973,0.6023,0.6152,0.5581,0.6085,0.6165
155,0.5851,0.5968,0.5925,0.5943,0.6011,0.6097,0.5684,0.603,0.5974
156,0.5815,0.5995,0.6038,0.6187,0.5949,0.5995,0.5592,0.6088,0.6045
157,0.5851,0.6011,0.6128,0.603,0.6017,0.5937,0.5635,0.6036,0.6128
158,0.5607,0.5639,0.5639,0.5711,0.5773,0.5814,0.5178,0.5795,0.5747
159,0.6052,0.6058,0.6125,0.6064,0.6125,0.6174,0.5684,0.6168,0.6168
160,0.607,0.6052,0.6125,0.6027,0.616,0.6125,0.5714,0.6184,0.6162
161,0.6177,0.6153,0.6303,0.6466,0.6285,0.6315,0.5972,0.6424,0.649
162,0.6077,0.6119,0.6201,0.6372,0.6221,0.6324,0.5909,0.6282,0.6348
163,0.6184,0.619,0.6208,0.6281,0.6233,0.6245,0.5796,0.6309,0.6354
164,0.6063,0.5983,0.6119,0.6063,0.6088,0.6199,0.5735,0.6125,0.6218
165,0.6107,0.6113,0.6113,0.6343,0.6198,0.6204,0.5733,0.6313,0.6391
166,0.6046,0.6133,0.6127,0.6096,0.6128,0.6313,0.5611,0.6151,0.6176
167,0.6069,0.6021,0.6289,0.6118,0.6161,0.6256,0.5771,0.6274,0.6332
168,0.5988,0.6054,0.6239,0.6349,0.6133,0.5994,0.5793,0.6283,0.6349
169,0.6079,0.6006,0.6236,0.6236,0.6127,0.6139,0.5873,0.6303,0.6339
170,0.6112,0.6226,0.6208,0.6148,0.623,0.6218,0.5895,0.632,0.6316
171,0.6258,0.6142,0.6239,0.6403,0.6197,0.6252,0.5735,0.6215,0.6245
172,0.6077,0.6071,0.6171,0.6372,0.6212,0.6188,0.582,0.6219,0.6354
173,0.6122,0.6165,0.6102,0.6159,0.6159,0.6292,0.5829,0.6305,0.6347
174,0.5911,0.5948,0.6159,0.6234,0.6016,0.5973,0.569,0.6209,0.619
175,0.6199,0.6205,0.6192,0.6259,0.6259,0.6265,0.5884,0.6308,0.6277
176,0.5952,0.6038,0.6072,0.6117,0.6117,0.6142,0.572,0.6215,0.6203
177,0.5941,0.5922,0.6144,0.6089,0.607,0.6188,0.5722,0.6194,0.6231
178,0.6168,0.6217,0.6138,0.6332,0.6277,0.6265,0.5896,0.6229,0.6235
179,0.6075,0.6011,0.5958,0.6235,0.605,0.6069,0.5633,0.6171,0.6247
180,0.5556,0.5663,0.5825,0.5804,0.5512,0.562,0.5599,0.5771,0.5761
181,0.5285,0.5307,0.5385,0.5408,0.5229,0.528,0.524,0.5307,0.5385
182,0.5482,0.5548,0.5637,0.5559,0.5504,0.5449,0.5437,0.5526,0.5681
183,0.5451,0.5407,0.5461,0.5494,0.5364,0.5429,0.519,0.5483,0.5581
184,0.5571,0.5442,0.5625,0.5685,0.5611,0.5485,0.5453,0.5614,0.5754
185,0.5354,0.5299,0.5509,0.5597,0.542,0.5387,0.5376,0.5442,0.5592
186,0.5511,0.5367,0.5628,0.5511,0.5489,0.5578,0.5478,0.5539,0.5678
187,0.5433,0.5467,0.56,0.5544,0.5444,0.5456,0.5222,0.5489,0.5622
188,0.5371,0.5258,0.5449,0.5573,0.5393,0.5393,0.5247,0.5483,0.5596
189,0.5553,0.5408,0.5654,0.5575,0.5497,0.5598,0.5464,0.5587,0.5575
190,0.5622,0.5479,0.5611,0.5545,0.5545,0.5512,0.5479,0.5556,0.56
191,0.5442,0.543,0.5673,0.5453,0.5541,0.5486,0.5353,0.5464,0.5508
192,0.5445,0.5434,0.5697,0.562,0.5412,0.5488,0.539,0.5565,0.567
193,0.5602,0.5315,0.5646,0.5536,0.5525,0.5481,0.5304,0.5558,0.5591
194,0.5527,0.5549,0.5714,0.5505,0.5604,0.5516,0.5451,0.5516,0.5589
195,0.553,0.5444,0.5682,0.5714,0.5541,0.5693,0.566,0.5639,0.566
196,0.5412,0.5456,0.5631,0.5598,0.5445,0.5499,0.5302,0.5598,0.5752
197,0.516,0.54,0.5377,0.5445,0.5297,0.5263,0.5068,0.5377,0.5468
198,0.5205,0.5285,0.5696,0.5468,0.5354,0.54,0.5263,0.5411,0.5514
199,0.56,0.5444,0.5741,0.5714,0.5524,0.5503,0.5524,0.5665,0.5676
200,0.5212,0.5301,0.529,0.5468,0.5312,0.5234,0.5278,0.5423,0.5546
201,0.5689,0.5678,0.5857,0.5762,0.5752,0.5836,0.5762,0.5804,0.5857
202,0.5333,0.5316,0.5438,0.5505,0.5405,0.5305,0.5261,0.5461,0.5556
203,0.5585,0.5541,0.5717,0.5651,0.5596,0.5552,0.5453,0.5596,0.5585
204,0.5492,0.5274,0.5405,0.5405,0.5372,0.5252,0.5241,0.5525,0.5492
205,0.5227,0.5349,0.566,0.5537,0.5426,0.5504,0.5282,0.5592,0.5703
206,0.5475,0.5421,0.565,0.565,0.5464,0.5399,0.5443,0.565,0.5624
207,0.5476,0.5492,0.5547,0.547,0.5536,0.5525,0.5359,0.5514,0.5514
208,0.5451,0.5462,0.556,0.5648,0.5538,0.5527,0.5363,0.5604,0.5648
209,0.5419,0.5507,0.5407,0.5529,0.5441,0.5463,0.5374,0.5463,0.5496
210,0.5387,0.5474,0.5616,0.554,0.5453,0.548,0.536,0.5649,0.566
211,0.5639,0.5547,0.5703,0.566,0.5747,0.5639,0.553,0.566,0.566
212,0.5282,0.5282,0.5474,0.5576,0.535,0.5293,0.5293,0.544,0.553
213,0.5292,0.5326,0.5404,0.5382,0.5208,0.5315,0.5225,0.5343,0.5427
214,0.5549,0.5352,0.5538,0.5538,0.5495,0.5473,0.5451,0.5484,0.5527
215,0.555,0.556,0.568,0.5702,0.5473,0.5528,0.5473,0.5658,0.5626
216,0.5442,0.5517,0.555,0.5614,0.5496,0.5485,0.5409,0.5485,0.5593
217,0.5696,0.57,0.5793,0.5905,0.57,0.5733,0.5765,0.5859,0.5938
218,0.549,0.5512,0.569,0.5557,0.5546,0.5557,0.5223,0.5601,0.559
219,0.5409,0.5476,0.5774,0.5575,0.5409,0.5365,0.5332,0.5531,0.5642
220,0.5545,0.5512,0.5743,0.5655,0.5556,0.5578,0.5479,0.5534,0.5699
221,0.542,0.5442,0.5476,0.5542,0.552,0.5442,0.5332,0.5548,0.5542
222,0.5464,0.543,0.547,0.5695,0.5397,0.5486,0.5331,0.5596,0.5596
223,0.5284,0.5455,0.5369,0.5539,0.5448,0.5482,0.5148,0.5414,0.5471
224,0.5346,0.5412,0.5576,0.562,0.5477,0.5488,0.5434,0.5554,0.5587
225,0.5403,0.5381,0.5657,0.5536,0.5403,0.5348,0.5425,0.5525,0.5613
226,0.5375,0.5396,0.5516,0.5537,0.5277,0.5299,0.5288,0.557,0.5624
227,0.5623,0.5452,0.5595,0.5672,0.5452,0.5485,0.5474,0.5573,0.5672
228,0.5607,0.5597,0.5716,0.5662,0.5716,0.5575,0.5412,0.5694,0.5813
229,0.5243,0.5186,0.5492,0.5446,0.522,0.522,0.5232,0.5525,0.5582
230,0.5652,0.5478,0.5848,0.5652,0.5663,0.5533,0.5435,0.5663,0.5772
231,0.559,0.573,0.5796,0.5665,0.5762,0.5676,0.5515,0.5719,0.5751
232,0.5606,0.5638,0.5702,0.5649,0.5681,0.5638,0.5691,0.5702,0.5745
233,0.5598,0.5576,0.5652,0.563,0.5609,0.5663,0.5522,0.5707,0.5685
234,0.546,0.5427,0.5678,0.5624,0.5525,0.5547,0.547,0.5602,0.5711
235,0.5429,0.5479,0.5692,0.5736,0.5473,0.5516,0.544,0.5703,0.5831
236,0.5475,0.5563,0.5667,0.5727,0.5683,0.5727,0.5454,0.5727,0.5716
237,0.5597,0.5526,0.5564,0.5652,0.5608,0.5542,0.5509,0.5641,0.5636
238,0.5647,0.5614,0.5787,0.5679,0.5674,0.5657,0.555,0.5787,0.5862
239,0.5422,0.5422,0.5739,0.5849,0.5487,0.5564,0.5411,0.5663,0.5805
240,0.4854,0.4737,0.5103,0.4912,0.4591,0.462,0.4766,0.4956,0.5029
241,0.5269,0.5411,0.5496,0.5467,0.5042,0.4958,0.5467,0.5411,0.5382
242,0.5272,0.5186,0.5215,0.5158,0.4828,0.4814,0.5129,0.5215,0.5186
243,0.4731,0.4866,0.5015,0.4955,0.4687,0.4657,0.4806,0.5104,0.5284
244,0.506,0.506,0.4731,0.482,0.482,0.485,0.503,0.503,0.494
245,0.4688,0.451,0.4599,0.4837,0.4451,0.451,0.4659,0.4896,0.4926
246,0.4596,0.4627,0.472,0.4627,0.4472,0.441,0.4472,0.4689,0.472
247,0.474,0.4648,0.4557,0.4801,0.4434,0.4526,0.4709,0.4954,0.4893
248,0.4819,0.4819,0.506,0.509,0.4518,0.4548,0.4789,0.494,0.509
249,0.4881,0.4494,0.4881,0.497,0.4673,0.4583,0.4911,0.5,0.494
250,0.4941,0.5207,0.5178,0.5059,0.5,0.4793,0.5,0.5178,0.5148
251,0.4824,0.4765,0.5088,0.5,0.4559,0.4676,0.4735,0.5,0.5088
252,0.4877,0.4969,0.4877,0.4939,0.5031,0.4755,0.4677,0.4847,0.4939
253,0.4925,0.4806,0.4866,0.4866,0.4687,0.4388,0.4925,0.4955,0.4746
254,0.51,0.5242,0.5328,0.5356,0.4957,0.4729,0.51,0.5328,0.5356
255,0.5119,0.5119,0.5,0.503,0.4911,0.4821,0.5,0.5089,0.4851
256,0.4955,0.4805,0.4895,0.4925,0.4595,0.4595,0.4895,0.5015,0.5075
257,0.4834,0.4804,0.4955,0.5136,0.4773,0.4683,0.4773,0.4985,0.4864
258,0.4925,0.4746,0.4836,0.5045,0.4567,0.4448,0.4776,0.4896,0.4985
259,0.5171,0.5143,0.5171,0.52,0.5114,0.4943,0.5114,0.5286,0.5314
260,0.4941,0.497,0.5089,0.503,0.4822,0.4586,0.4941,0.5148,0.5148
261,0.5182,0.5014,0.5126,0.5238,0.4986,0.4958,0.5042,0.5294,0.5098
262,0.4864,0.4924,0.4924,0.5196,0.4622,0.4743,0.5166,0.5106,0.5227
263,0.5181,0.5125,0.5292,0.532,0.5153,0.5181,0.5209,0.5292,0.5237
264,0.5151,0.4849,0.509,0.5,0.4849,0.4849,0.4819,0.509,0.512
265,0.4685,0.4895,0.5285,0.5105,0.4655,0.4535,0.5105,0.4955,0.5045
266,0.4783,0.472,0.5155,0.5062,0.4752,0.4689,0.4845,0.5248,0.5155
267,0.4606,0.4667,0.4636,0.4758,0.4424,0.4455,0.4485,0.4485,0.4727
268,0.4985,0.5,0.5133,0.5162,0.4838,0.4779,0.4897,0.4985,0.5103
269,0.4956,0.5015,0.5073,0.5103,0.4868,0.4751,0.4956,0.5103,0.5308
270,0.4573,0.4329,0.4726,0.4848,0.4299,0.4238,0.4604,0.4726,0.4878
271,0.4809,0.4751,0.5103,0.5073,0.45,0.4487,0.4839,0.5073,0.5161
272,0.509,0.488,0.5151,0.509,0.4849,0.4729,0.488,0.5361,0.5271
273,0.4688,0.4688,0.5252,0.5074,0.4718,0.457,0.4659,0.5015,0.5282
274,0.4556,0.4645,0.5059,0.4911,0.4645,0.4615,0.4675,0.4793,0.4911
275,0.5116,0.5231,0.5116,0.5145,0.4855,0.4827,0.4855,0.5101,0.5087
276,0.4844,0.4562,0.45,0.4719,0.4469,0.4094,0.4531,0.4719,0.45
277,0.5145,0.4971,0.5349,0.5436,0.4985,0.4913,0.5145,0.5436,0.5436
278,0.4945,0.5083,0.5359,0.5304,0.5125,0.5028,0.5083,0.5276,0.5442
279,0.5265,0.5,0.5353,0.5133,0.4882,0.4735,0.5353,0.5412,0.5294
280,0.4848,0.4726,0.5091,0.5366,0.4634,0.4543,0.4756,0.5061,0.5274
