,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
232,0.8319,0.8121,0.8955,0.874,0.8522,0.8478,0.8366,0.8496,0.792
233,0.8304,0.8173,0.89,0.8295,0.8405,0.8391,0.8334,0.8525,0.8743
234,0.8234,0.8087,0.8882,0.8755,0.8458,0.8423,0.8339,0.8545,0.783
235,0.823,0.8084,0.8966,0.8728,0.8367,0.8373,0.8236,0.8528,0.7812
236,0.818,0.8028,0.8844,0.8213,0.8225,0.8247,0.8301,0.8489,0.7801
237,0.815,0.7867,0.8722,0.8601,0.8302,0.8226,0.8217,0.8528,0.8695
238,0.8195,0.7907,0.8949,0.886,0.833,0.8274,0.8313,0.8436,0.8692
239,0.8215,0.8044,0.8911,0.8494,0.8251,0.8323,0.8362,0.8509,0.7816
240,0.8134,0.374,0.7269,0.8368,0.8788,0.878,0.9338,0.8231,0.6066
241,0.8188,0.3479,0.7441,0.8859,0.9061,0.8948,0.932,0.839,0.6146
242,0.7937,0.3932,0.7459,0.8544,0.9078,0.8843,0.9393,0.8172,0.6125
243,0.7502,0.3122,0.7243,0.8402,0.8954,0.884,0.9351,0.8175,0.6002
244,0.8217,0.3557,0.7818,0.8487,0.8863,0.8782,0.9362,0.825,0.5993
245,0.8273,0.41,0.731,0.8507,0.9031,0.8967,0.9314,0.8232,0.6142
246,0.7759,0.3684,0.6838,0.8476,0.8981,0.8867,0.9348,0.8289,0.6145
247,0.7953,0.3968,0.7284,0.8678,0.8964,0.8854,0.936,0.8348,0.6221
248,0.8095,0.369,0.7333,0.8737,0.9076,0.8995,0.9373,0.8392,0.6146
249,0.8027,0.3696,0.6537,0.8575,0.8929,0.8921,0.9332,0.8301,0.6151
250,0.8546,0.3646,0.7289,0.8638,0.9152,0.9119,0.9405,0.8246,0.615
251,0.8464,0.4067,0.7104,0.872,0.892,0.8904,0.9351,0.8263,0.6168
252,0.8596,0.3756,0.727,0.8426,0.8997,0.8876,0.9334,0.8307,0.6188
253,0.805,0.3602,0.724,0.8638,0.892,0.8928,0.9331,0.8339,0.618
254,0.7686,0.42,0.7338,0.8637,0.8986,0.8914,0.9231,0.8384,0.6228
255,0.7857,0.3435,0.7349,0.8423,0.9179,0.9115,0.9324,0.8327,0.6237
256,0.8363,0.3735,0.731,0.8475,0.9109,0.9029,0.9326,0.8291,0.6188
257,0.7804,0.3773,0.7251,0.8632,0.9075,0.9019,0.9356,0.8238,0.6106
258,0.821,0.3827,0.736,0.8441,0.8926,0.8831,0.9356,0.8146,0.6046
259,0.8002,0.3352,0.732,0.8591,0.9132,0.9013,0.9315,0.8256,0.6099
260,0.677,0.3759,0.4873,0.6965,0.8088,0.8063,0.9129,0.5351,0.2897
261,0.6858,0.3666,0.5619,0.7038,0.8175,0.8077,0.9223,0.5385,0.3462
262,0.6803,0.3297,0.5176,0.6594,0.8364,0.8364,0.9157,0.5301,0.3133
263,0.6954,0.3469,0.5021,0.712,0.8257,0.8183,0.9295,0.5402,0.312
264,0.692,0.3962,0.5164,0.6705,0.8186,0.8145,0.9208,0.5454,0.3399
265,0.6777,0.3586,0.5408,0.668,0.7953,0.7961,0.9202,0.5238,0.3392
266,0.6853,0.3665,0.4988,0.6558,0.7968,0.8,0.9203,0.5458,0.3371
267,0.6835,0.3605,0.5507,0.6672,0.8116,0.814,0.9184,0.5306,0.3165
268,0.6972,0.335,0.5318,0.6778,0.8122,0.8155,0.919,0.5384,0.3356
269,0.7015,0.3576,0.5668,0.6364,0.8169,0.8127,0.9247,0.5423,0.2994
270,0.6722,0.3815,0.5067,0.6772,0.8182,0.814,0.9133,0.5372,0.3139
271,0.6925,0.4089,0.5423,0.646,0.798,0.8005,0.9217,0.5235,0.2935
272,0.6783,0.3355,0.5668,0.6914,0.8127,0.8094,0.9201,0.544,0.3208
273,0.673,0.3675,0.5318,0.6788,0.8167,0.8126,0.9158,0.5524,0.3245
274,0.6825,0.3774,0.5471,0.6475,0.8286,0.818,0.9135,0.5308,0.3275
275,0.7078,0.3576,0.5163,0.7069,0.832,0.8278,0.9237,0.5441,0.3302
276,0.6778,0.3483,0.5517,0.7015,0.8124,0.8148,0.9299,0.5351,0.3151
277,0.6814,0.3685,0.4587,0.6683,0.8121,0.8137,0.9199,0.5221,0.3031
278,0.6847,0.3525,0.5251,0.6492,0.8027,0.8084,0.9224,0.551,0.3096
279,0.6838,0.4165,0.556,0.683,0.8077,0.7971,0.9144,0.5273,0.3352
280,0.7822,0.4347,0.7386,0.8483,0.9064,0.8954,0.9434,0.816,0.6148
281,0.8081,0.3493,0.745,0.8344,0.9193,0.916,0.939,0.8254,0.6219
282,0.7835,0.3733,0.7324,0.8658,0.901,0.8866,0.9273,0.8283,0.619
283,0.7867,0.4202,0.7279,0.8531,0.8996,0.8989,0.9321,0.8166,0.6066
284,0.7475,0.3464,0.7493,0.8758,0.8987,0.8938,0.9322,0.844,0.6324
285,0.8056,0.3896,0.7002,0.8538,0.8942,0.8834,0.9339,0.8297,0.6275
286,0.8097,0.383,0.7374,0.8361,0.9033,0.8978,0.9314,0.8306,0.6365
287,0.798,0.3487,0.7758,0.8566,0.9011,0.8945,0.9349,0.8335,0.6216
288,0.8915,0.3417,0.7267,0.8493,0.9133,0.9045,0.9296,0.813,0.604
289,0.8069,0.3872,0.7321,0.8424,0.9093,0.9007,0.9346,0.8227,0.6243
290,0.7881,0.3932,0.7431,0.8605,0.9009,0.8952,0.9339,0.8179,0.586
291,0.8349,0.3884,0.7496,0.8381,0.9123,0.9011,0.9362,0.8126,0.5949
292,0.8101,0.3555,0.7443,0.8377,0.9042,0.9026,0.9367,0.8231,0.6071
293,0.8118,0.3487,0.7319,0.8556,0.9035,0.8962,0.9392,0.8402,0.6253
294,0.8026,0.374,0.7199,0.8579,0.9021,0.8884,0.9358,0.8226,0.6059
295,0.8852,0.3478,0.7177,0.865,0.9149,0.9059,0.9345,0.8191,0.6031
296,0.7945,0.3481,0.697,0.8525,0.9065,0.9025,0.9307,0.8284,0.6213
297,0.7466,0.4175,0.7559,0.8486,0.8924,0.8805,0.9283,0.8247,0.6215
298,0.8209,0.3448,0.7205,0.8536,0.9044,0.9044,0.9338,0.817,0.6062
299,0.8743,0.3829,0.7141,0.8389,0.8989,0.8924,0.9252,0.8258,0.6056
300,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
301,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
302,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
303,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
304,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
305,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
306,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
307,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
308,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
309,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
310,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
311,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
312,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
313,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
314,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
315,0.9995,0.9995,0.9994,0.9995,0.9993,0.9993,0.9995,0.9995,0.9995
316,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
317,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
318,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
319,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
320,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
321,0.9988,0.9988,0.9985,0.9988,0.9981,0.9981,0.9988,0.9988,0.9988
322,0.999,0.999,0.9988,0.999,0.9987,0.9987,0.999,0.999,0.999
323,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
324,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
325,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
326,0.9993,0.9993,0.9991,0.9993,0.9989,0.9989,0.9993,0.9993,0.9993
327,0.9988,0.9988,0.9987,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
328,0.999,0.999,0.9988,0.999,0.9987,0.9987,0.999,0.999,0.999
329,0.9995,0.9995,0.9994,0.9995,0.9994,0.9994,0.9995,0.9995,0.9995
330,0.9993,0.9993,0.9991,0.9993,0.9988,0.9988,0.9993,0.9993,0.9993
331,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
332,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
333,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
334,0.9993,0.9993,0.9991,0.9993,0.9988,0.9988,0.9993,0.9993,0.9993
335,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
336,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
337,0.999,0.999,0.9988,0.999,0.9986,0.9986,0.999,0.999,0.999
338,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
339,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
340,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
341,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
342,0.999,0.999,0.999,0.999,0.9987,0.9987,0.999,0.999,0.999
343,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
344,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
345,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
346,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
347,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
348,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
349,0.9995,0.9995,0.9994,0.9995,0.9993,0.9993,0.9995,0.9995,0.9995
350,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
351,0.9993,0.9993,0.9991,0.9993,0.999,0.999,0.9993,0.9993,0.9993
352,0.9988,0.9988,0.9986,0.9988,0.9983,0.9983,0.9988,0.9988,0.9988
353,0.9993,0.9993,0.9992,0.9993,0.999,0.999,0.9993,0.9993,0.9993
354,0.9993,0.9993,0.9993,0.9993,0.999,0.999,0.9993,0.9993,0.9993
355,0.9988,0.9988,0.9986,0.9988,0.9984,0.9984,0.9988,0.9988,0.9988
356,0.999,0.999,0.9989,0.999,0.9987,0.9987,0.999,0.999,0.999
